City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,77.95,scattered clouds,-23.1203,-134.9692,People ThankYou
2,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
5,Pitimbu,BR,79.39,few clouds,-7.4706,-34.8086,Reserva do Abiaí
6,Sambava,MG,82.92,overcast clouds,-14.2667,50.1667,Melrose
9,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
12,Mahebourg,MU,84.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
13,Kirakira,SB,83.03,overcast clouds,-10.4544,161.9205,SanBiz Lodge
14,Faanui,PF,80.82,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
17,Puerto Ayora,EC,76.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
19,Saint-Joseph,RE,80.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
24,Namatanai,PG,84.4,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
32,Dawei,MM,87.82,few clouds,14.0833,98.2,Hotel Dawei
35,Sanghar,PK,82.47,clear sky,26.0466,68.9481,Goklani House گوکلانی ہائوس
49,Busselton,AU,86.04,clear sky,-33.65,115.3333,Observatory Guest House
53,Hobyo,SO,81.59,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
63,Luganville,VU,83.89,broken clouds,-15.5333,167.1667,The Espiritu Hotel
65,Thinadhoo,MV,82.81,overcast clouds,0.5333,72.9333,
69,Butaritari,KI,81.73,light rain,3.0707,172.7902,Isles Sunset Lodge
78,Bacolod,PH,86.63,overcast clouds,10.6667,122.95,Planta Hotel & Residences
80,Santiago De Cuba,CU,76.62,few clouds,20.0247,-75.8219,Cubanacan San Felix
83,Micheweni,TZ,82.74,overcast clouds,-4.9667,39.8333,
84,Xuddur,SO,79.29,scattered clouds,4.1213,43.8894,Banjanay Hotel
88,Mutis,CO,77.47,overcast clouds,6.2262,-77.4044,Paraiso Escondido
99,Daru,PG,77.04,heavy intensity rain,-9.0763,143.2092,Daru Lodge
100,Souillac,MU,84.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
104,Dingle,PH,82.38,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
114,Kavieng,PG,81.93,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
116,Arraial Do Cabo,BR,75.24,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
117,Cravo Norte,CO,79.48,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
119,Kahului,US,77.02,broken clouds,20.8947,-156.47,Maui Seaside Hotel
122,Bambous Virieux,MU,84.22,light rain,-20.3428,57.7575,Casa Tia Villa
127,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
128,Moerai,PF,80.01,few clouds,-22.4333,-151.3333,Le Manotel
132,Tumpat,MY,86.05,few clouds,6.1978,102.171,Baan Tanyong B&B
134,Honiara,SB,83.53,overcast clouds,-9.4333,159.95,Heritage Park Hotel
135,Bandarbeyla,SO,79.57,scattered clouds,9.4942,50.8122,JABIR HOTEL
139,Mahudha,IN,80.58,clear sky,22.8167,72.9333,Daimond Tava Fry & Restaurant
141,Saint-Pierre,RE,82.08,light rain,-21.3393,55.4781,Lindsey Hôtel
142,Yarada,IN,84.52,smoke,17.65,83.2667,Yarada Jungle Beach Resorts
143,Lugoba,TZ,76.84,overcast clouds,-6.45,38.3333,
146,Meulaboh,ID,85.53,broken clouds,4.1363,96.1285,Kost Pria
155,Salinopolis,BR,79.47,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
161,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
167,Atuona,PF,78.64,clear sky,-9.8,-139.0333,Villa Enata
172,Isangel,VU,89.71,scattered clouds,-19.55,169.2667,Tanna Lodge
185,Alofi,NU,76.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
190,Hithadhoo,MV,82.78,overcast clouds,-0.6,73.0833,Scoop Guest House
195,Sur,OM,75.06,clear sky,22.5667,59.5289,Sur Plaza Hotel
