City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,55.51,76,20,20.71,few clouds
1,Rikitea,PF,-23.1203,-134.9692,77.95,70,28,5.59,scattered clouds
2,Salalah,OM,17.0151,54.0924,78.89,25,0,17.27,clear sky
3,Rio Grande,BR,-32.035,-52.0986,71.71,85,71,11.07,broken clouds
4,Ushuaia,AR,-54.8,-68.3,51.46,93,100,24.16,drizzle
5,Pitimbu,BR,-7.4706,-34.8086,79.39,76,12,8.81,few clouds
6,Sambava,MG,-14.2667,50.1667,82.92,66,99,5.17,overcast clouds
7,Lebu,CL,-37.6167,-73.65,54.5,91,39,9.78,scattered clouds
8,Kutum,SD,14.2,24.6667,56.91,19,0,6.46,clear sky
9,Vaini,TO,-21.2,-175.2,82.56,89,75,9.22,broken clouds
10,Albany,US,42.6001,-73.9662,34.14,76,80,0.22,broken clouds
11,Najran,SA,17.4924,44.1277,59.65,24,51,3.67,broken clouds
12,Mahebourg,MU,-20.4081,57.7,84.25,94,75,21.85,broken clouds
13,Kirakira,SB,-10.4544,161.9205,83.03,80,97,4.23,overcast clouds
14,Faanui,PF,-16.4833,-151.75,80.82,76,100,17.36,light rain
15,Meridian,US,43.6121,-116.3915,29.52,80,0,4.61,clear sky
16,Dauphin,CA,51.1494,-100.0502,-29.06,62,0,8.05,clear sky
17,Puerto Ayora,EC,-0.7393,-90.3518,76.55,92,25,1.99,scattered clouds
18,Jamestown,US,42.097,-79.2353,54.72,57,100,7.0,overcast clouds
19,Saint-Joseph,RE,-21.3667,55.6167,80.98,83,100,20.96,light rain
20,Cherskiy,RU,68.75,161.3,-47.25,100,99,4.38,overcast clouds
21,Victoria,HK,22.2855,114.1577,53.33,94,100,4.0,light rain
22,Thompson,CA,55.7435,-97.8558,-29.04,75,0,2.3,clear sky
23,Rapid Valley,US,44.0625,-103.1463,-0.96,75,100,24.16,overcast clouds
24,Namatanai,PG,-3.6667,152.4333,84.4,67,46,6.64,scattered clouds
25,Ponta Do Sol,PT,32.6667,-17.1,64.71,69,61,10.54,broken clouds
26,Kijang,KR,35.2442,129.2139,42.53,22,38,9.26,scattered clouds
27,Verkhoyansk,RU,67.5447,133.385,-8.43,98,84,1.77,broken clouds
28,Hilo,US,19.7297,-155.09,74.93,91,75,6.91,moderate rain
29,Tiksi,RU,71.6872,128.8694,1.33,86,100,13.2,overcast clouds
30,Bay Roberts,CA,47.5999,-53.2648,34.34,70,78,8.01,broken clouds
31,New Norfolk,AU,-42.7826,147.0587,74.66,26,2,1.99,clear sky
32,Dawei,MM,14.0833,98.2,87.82,49,20,7.36,few clouds
33,Mataura,NZ,-46.1927,168.8643,59.49,98,100,2.01,overcast clouds
34,Codrington,AU,-38.2667,141.9667,65.55,55,0,17.83,clear sky
35,Sanghar,PK,26.0466,68.9481,82.47,24,1,18.66,clear sky
36,Hofn,IS,64.2539,-15.2082,37.9,94,100,54.11,moderate rain
37,Vestmanna,FO,62.1564,-7.1664,34.72,93,100,20.71,overcast clouds
38,Bluff,NZ,-46.6,168.3333,59.81,61,85,18.37,overcast clouds
39,Ribeira Grande,PT,38.5167,-28.7,57.06,69,21,2.19,few clouds
40,Bredasdorp,ZA,-34.5322,20.0403,58.32,88,3,2.3,clear sky
41,Nikolskoye,RU,59.7035,30.7861,35.87,97,100,5.86,light snow
42,Iqaluit,CA,63.7506,-68.5145,-23.31,74,40,19.57,scattered clouds
43,Torbay,CA,47.6666,-52.7314,33.58,79,20,18.41,few clouds
44,Castro,BR,-24.7911,-50.0119,62.62,90,0,0.98,clear sky
45,Korla,CN,41.7597,86.1469,35.31,34,0,4.74,clear sky
46,Cape Town,ZA,-33.9258,18.4232,66.27,79,0,8.05,clear sky
47,Carbonia,IT,39.1672,8.5222,52.75,71,28,24.43,scattered clouds
48,Havoysund,NO,70.9963,24.6622,19.63,82,100,9.28,light snow
