City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Grindavik,IS,2022-02-04 09:53:16,63.8424,-22.4338,30.15,74,75,19.57
1,Vila,PT,2022-02-04 09:53:16,42.0304,-8.1588,42.33,91,100,1.99
2,Rikitea,PF,2022-02-04 09:51:55,-23.1203,-134.9692,78.21,75,100,15.57
3,Atuona,PF,2022-02-04 09:53:17,-9.8,-139.0333,78.17,77,5,17.34
4,Lusambo,CD,2022-02-04 09:53:17,-4.9667,23.45,75.92,70,100,2.59
5,Punta Arenas,CL,2022-02-04 09:46:58,-53.15,-70.9167,39.31,70,75,9.22
6,Talnakh,RU,2022-02-04 09:53:17,69.4865,88.3972,-5.8,98,60,8.23
7,Provideniya,RU,2022-02-04 09:53:18,64.3833,-173.3,0.73,64,3,19.8
8,Vila Velha,BR,2022-02-04 09:51:53,-20.3297,-40.2925,75.15,94,75,2.3
9,Coquimbo,CL,2022-02-04 09:53:18,-29.9533,-71.3436,64.13,82,100,3.44
10,Bluff,NZ,2022-02-04 09:52:01,-46.6,168.3333,52.81,74,100,8.77
11,Kapaa,US,2022-02-04 09:53:19,22.0752,-159.319,71.01,72,0,4.85
12,Bredasdorp,ZA,2022-02-04 09:51:54,-34.5322,20.0403,72.28,40,80,11.1
13,Navahrudak,BY,2022-02-04 09:53:19,53.6,25.8333,21.85,96,99,11.65
14,Cherskiy,RU,2022-02-04 09:53:19,68.75,161.3,-33.45,99,7,3.04
15,Ushuaia,AR,2022-02-04 09:51:52,-54.8,-68.3,37.06,75,20,9.22
16,Manado,ID,2022-02-04 09:53:20,1.487,124.8455,79.57,89,40,3.44
17,Cidreira,BR,2022-02-04 09:44:18,-30.1811,-50.2056,74.71,81,100,5.32
18,Yumen,CN,2022-02-04 09:53:20,40.2833,97.2,23.49,27,82,13.91
19,Barrow,US,2022-02-04 09:45:26,71.2906,-156.7887,-29.18,68,20,6.91
20,Kayerkan,RU,2022-02-04 09:53:21,69.3497,87.7602,-6.48,76,71,6.26
21,Busselton,AU,2022-02-04 09:51:58,-33.65,115.3333,97.09,43,0,7.72
22,Soyo,AO,2022-02-04 09:53:21,-6.1349,12.3689,82.87,62,100,1.25
23,Saldanha,ZA,2022-02-04 09:48:02,-33.0117,17.9442,75.25,61,35,24.16
